hub_id,parent_pop,sites,access_rings,pooled_DUs,25GE_ports_per_router,100GE_uplinks_per_router,router_class_x2,busy_hour_Gbps,peak_Gbps,uplink_utilisation_at_peak
HUB-AMM-13,DC1,47,7,36,27,2,HUB-R2 (48×25GE + 8×100GE),34.0,56.2,28 %
HUB-AMM-14,POP-AMM-C,51,8,39,30,4,HUB-R2 (48×25GE + 8×100GE),36.9,60.5,15 %
HUB-AMM-15,POP-ZRQ,41,6,31,24,2,HUB-R1 (24×25GE + 4×100GE),16.8,30.4,15 %
HUB-AMM-16,POP-AMM-S,49,7,0,9,2,HUB-R1 (24×25GE + 4×100GE),12.3,23.7,12 %
HUB-AMM-17,POP-ZRQ,22,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),5.9,14.0,7 %
HUB-AMM-18,POP-ZRQ,19,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),5.1,12.9,6 %
HUB-AMM-19,DC1,41,6,31,24,2,HUB-R1 (24×25GE + 4×100GE),15.7,28.8,14 %
HUB-AMM-20,POP-AMM-S,33,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),8.7,18.2,9 %
HUB-AMM-21,DC2,35,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),9.7,19.7,10 %
HUB-AMM-22,DC1,37,6,28,22,2,HUB-R1 (24×25GE + 4×100GE),13.5,25.4,13 %
HUB-AMM-23,POP-AMM-C,43,6,33,25,2,HUB-R2 (48×25GE + 8×100GE),25.1,42.9,21 %
HUB-AMM-24,POP-ZRQ,42,6,32,24,2,HUB-R1 (24×25GE + 4×100GE),17.9,32.0,16 %
HUB-AMM-25,DC1,39,6,0,8,2,HUB-R1 (24×25GE + 4×100GE),9.8,19.9,10 %
HUB-AMM-26,POP-ZRQ,22,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),5.5,13.5,7 %
HUB-AMM-27,DC1,36,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),15.3,28.2,14 %
HUB-AMM-28,DC2,61,9,46,34,4,HUB-R2 (48×25GE + 8×100GE),43.5,70.5,18 %
HUB-AMM-29,DC1,42,6,32,24,2,HUB-R1 (24×25GE + 4×100GE),16.0,29.2,15 %
HUB-AMM-30,POP-AMM-S,47,7,0,9,2,HUB-R1 (24×25GE + 4×100GE),11.8,23.0,11 %
HUB-AMM-31,POP-AMM-S,35,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),8.8,18.4,9 %
HUB-AMM-32,POP-AMM-N,42,6,0,8,2,HUB-R1 (24×25GE + 4×100GE),10.6,21.1,11 %
HUB-AMM-33,POP-AMM-S,52,8,39,30,2,HUB-R2 (48×25GE + 8×100GE),19.5,34.5,17 %
HUB-AMM-34,DC1,36,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),9.1,18.8,9 %
HUB-AMM-35,POP-AMM-S,43,6,33,25,2,HUB-R2 (48×25GE + 8×100GE),18.3,32.7,16 %
HUB-AMM-36,POP-AMM-N,29,4,22,17,2,HUB-R1 (24×25GE + 4×100GE),11.7,22.7,11 %
HUB-AMM-37,POP-AMM-S,48,7,0,9,2,HUB-R1 (24×25GE + 4×100GE),12.1,23.3,12 %
HUB-AMM-38,POP-AMM-C,44,7,33,26,2,HUB-R2 (48×25GE + 8×100GE),29.7,49.8,25 %
HUB-AMM-39,DC2,41,6,31,24,2,HUB-R1 (24×25GE + 4×100GE),16.2,29.6,15 %
HUB-AMM-40,POP-AMM-S,54,8,41,31,2,HUB-R2 (48×25GE + 8×100GE),21.6,37.6,19 %
HUB-AMM-41,POP-AMM-C,50,7,38,28,2,HUB-R2 (48×25GE + 8×100GE),31.7,52.7,26 %
HUB-AMM-42,POP-ZRQ,33,5,25,20,2,HUB-R1 (24×25GE + 4×100GE),14.1,26.3,13 %
HUB-AMM-43,DC1,36,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),9.1,18.8,9 %
HUB-AMM-44,POP-AMM-N,44,7,33,26,2,HUB-R2 (48×25GE + 8×100GE),18.7,33.3,17 %
HUB-AMM-45,POP-AMM-C,46,7,35,27,2,HUB-R2 (48×25GE + 8×100GE),22.6,39.0,20 %
HUB-AMM-46,POP-AMM-S,48,7,36,27,2,HUB-R2 (48×25GE + 8×100GE),16.8,30.4,15 %
HUB-AMM-47,DC2,48,7,36,27,2,HUB-R2 (48×25GE + 8×100GE),20.4,35.9,18 %
HUB-AMM-48,POP-AMM-N,35,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),8.8,18.4,9 %
HUB-AMM-49,POP-AMM-N,38,6,29,23,2,HUB-R1 (24×25GE + 4×100GE),16.2,29.5,15 %
HUB-AMM-50,DC2,34,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),9.3,19.1,10 %
HUB-AMM-51,POP-AMM-S,36,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),13.6,25.6,13 %
HUB-AMM-52,POP-AMM-C,54,8,41,31,2,HUB-R2 (48×25GE + 8×100GE),31.6,52.6,26 %
HUB-AMM-53,POP-AMM-N,37,6,0,8,2,HUB-R1 (24×25GE + 4×100GE),9.3,19.2,10 %
HUB-AMM-54,DC2,38,6,29,23,2,HUB-R1 (24×25GE + 4×100GE),15.7,28.7,14 %
HUB-AMM-55,POP-AMM-S,40,6,0,8,2,HUB-R1 (24×25GE + 4×100GE),10.1,20.3,10 %
HUB-AMM-56,DC2,49,7,37,28,2,HUB-R2 (48×25GE + 8×100GE),20.9,36.5,18 %
HUB-AMM-57,POP-AMM-S,51,8,39,30,2,HUB-R2 (48×25GE + 8×100GE),21.7,37.8,19 %
HUB-AMM-58,POP-ZRQ,36,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),11.2,21.9,11 %
HUB-AMM-59,DC1,45,7,34,26,2,HUB-R2 (48×25GE + 8×100GE),25.4,43.3,22 %
HUB-AMM-60,POP-ZRQ,37,6,28,22,2,HUB-R1 (24×25GE + 4×100GE),13.3,25.2,13 %
HUB-AMM-61,DC1,39,6,30,23,2,HUB-R1 (24×25GE + 4×100GE),14.4,26.7,13 %
HUB-AMM-62,DC2,46,7,35,27,2,HUB-R2 (48×25GE + 8×100GE),18.4,32.8,16 %
HUB-AMM-63,POP-ZRQ,33,5,25,20,2,HUB-R1 (24×25GE + 4×100GE),14.1,26.3,13 %
HUB-AMM-64,DC1,43,6,33,25,2,HUB-R2 (48×25GE + 8×100GE),19.8,34.9,17 %
HUB-AMM-65,POP-ZRQ,37,6,28,22,2,HUB-R1 (24×25GE + 4×100GE),15.1,27.8,14 %
HUB-AMM-66,POP-AMM-N,42,6,32,24,2,HUB-R1 (24×25GE + 4×100GE),15.8,28.9,14 %
HUB-AMM-67,DC1,32,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),8.1,17.3,9 %
HUB-AMM-68,POP-AMM-N,33,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),8.3,17.7,9 %
HUB-AMM-69,POP-AMM-C,55,8,42,31,4,HUB-R2 (48×25GE + 8×100GE),38.6,63.1,16 %
HUB-AMM-70,POP-ZRQ,48,7,36,27,2,HUB-R2 (48×25GE + 8×100GE),19.9,35.1,18 %
HUB-AMM-71,POP-AMM-N,29,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),9.0,18.8,9 %
HUB-AMM-72,DC1,39,6,30,23,2,HUB-R1 (24×25GE + 4×100GE),14.0,26.2,13 %
HUB-AMM-73,POP-AMM-S,46,7,0,9,2,HUB-R1 (24×25GE + 4×100GE),11.6,22.6,11 %
HUB-AMM-74,POP-AMM-N,26,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),6.9,15.6,8 %
HUB-AMM-75,DC1,37,6,0,8,2,HUB-R1 (24×25GE + 4×100GE),9.3,19.2,10 %
HUB-AMM-76,POP-AMM-N,33,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),10.8,21.3,11 %
HUB-AMM-77,POP-ZRQ,41,6,31,24,2,HUB-R1 (24×25GE + 4×100GE),17.5,31.4,16 %
HUB-AMM-78,POP-AMM-S,55,8,0,10,2,HUB-R1 (24×25GE + 4×100GE),13.9,26.0,13 %
HUB-AMM-79,POP-AMM-N,41,6,31,24,2,HUB-R1 (24×25GE + 4×100GE),17.5,31.4,16 %
HUB-AMM-80,POP-AMM-S,50,7,0,9,2,HUB-R1 (24×25GE + 4×100GE),12.6,24.1,12 %
HUB-AMM-81,DC2,41,6,0,8,2,HUB-R1 (24×25GE + 4×100GE),13.8,25.9,13 %
HUB-AMM-82,POP-AMM-C,48,7,36,27,2,HUB-R2 (48×25GE + 8×100GE),34.7,57.3,29 %
HUB-AMM-83,DC2,48,7,36,27,2,HUB-R2 (48×25GE + 8×100GE),20.7,36.3,18 %
HUB-AMM-84,POP-ZRQ,30,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),9.6,19.7,10 %
HUB-AMM-85,POP-ZRQ,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),14.9,27.6,14 %
HUB-AMM-86,POP-AMM-N,47,7,36,27,2,HUB-R2 (48×25GE + 8×100GE),18.3,32.6,16 %
HUB-AQB-01,POP-AQB,34,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),8.6,18.1,9 %
HUB-AQB-02,POP-AQB,24,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),6.0,14.3,7 %
HUB-AQB-03,POP-AQB,52,8,39,30,2,HUB-R2 (48×25GE + 8×100GE),21.1,36.9,18 %
HUB-AQB-04,POP-AQB,18,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),4.5,12.0,6 %
HUB-AQB-05,POP-AQB,57,8,43,32,2,HUB-R2 (48×25GE + 8×100GE),23.6,40.6,20 %
HUB-AQB-06,POP-AQB,52,8,39,30,2,HUB-R2 (48×25GE + 8×100GE),21.8,37.9,19 %
HUB-AQB-07,POP-AQB,14,2,0,4,2,HUB-R1 (24×25GE + 4×100GE),3.5,10.5,5 %
HUB-AZR-01,POP-AZR,32,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),8.1,17.3,9 %
HUB-DEA-01,POP-DEA,19,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),4.8,12.4,6 %
HUB-DEI-01,POP-DEI,24,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),6.0,14.3,7 %
HUB-GHO-01,POP-GHO,23,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),5.8,13.9,7 %
HUB-IRB-01,POP-IRB,38,6,29,23,2,HUB-R1 (24×25GE + 4×100GE),23.6,40.6,20 %
HUB-IRB-02,POP-IRB,28,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),7.1,15.8,8 %
HUB-IRB-03,POP-IRB,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),13.7,25.7,13 %
HUB-IRB-04,POP-IRB,38,6,29,23,2,HUB-R1 (24×25GE + 4×100GE),13.2,25.0,13 %
HUB-IRB-05,POP-IRB,38,6,29,23,2,HUB-R1 (24×25GE + 4×100GE),18.3,32.6,16 %
HUB-IRB-06,POP-IRB,60,9,45,34,2,HUB-R2 (48×25GE + 8×100GE),20.9,36.5,18 %
HUB-IRB-07,POP-IRB,41,6,31,24,2,HUB-R1 (24×25GE + 4×100GE),17.3,31.1,16 %
HUB-IRB-08,POP-IRB,41,6,31,24,2,HUB-R1 (24×25GE + 4×100GE),16.9,30.6,15 %
HUB-IRB-09,POP-IRB,37,6,28,22,2,HUB-R1 (24×25GE + 4×100GE),13.2,24.9,12 %
HUB-IRB-10,POP-IRB,21,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),5.3,13.1,7 %
HUB-IRB-11,POP-IRB,44,7,33,26,2,HUB-R2 (48×25GE + 8×100GE),18.7,33.3,17 %
HUB-IRB-12,POP-IRB,27,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),7.0,15.7,8 %
HUB-IRB-13,POP-IRB,71,10,54,39,2,HUB-R2 (48×25GE + 8×100GE),27.3,46.1,23 %
HUB-IRB-14,POP-IRB,24,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),6.4,14.8,7 %
HUB-IRB-15,POP-IRB,52,8,39,30,2,HUB-R2 (48×25GE + 8×100GE),30.5,50.9,25 %
HUB-IRB-16,POP-IRB,33,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),8.3,17.7,9 %
HUB-IRB-17,POP-IRB,42,6,32,24,2,HUB-R1 (24×25GE + 4×100GE),17.9,32.0,16 %
HUB-IRB-18,POP-IRB,42,6,32,24,2,HUB-R1 (24×25GE + 4×100GE),14.6,27.1,14 %
HUB-IRB-19,POP-IRB,35,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),11.4,22.3,11 %
HUB-IRB-20,POP-IRB,26,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),6.6,15.0,8 %
HUB-JER-01,POP-JER,38,6,29,23,2,HUB-R1 (24×25GE + 4×100GE),13.4,25.3,13 %
HUB-JER-02,POP-JER,40,6,30,23,2,HUB-R1 (24×25GE + 4×100GE),14.1,26.3,13 %
HUB-JER-03,POP-JER,39,6,30,23,2,HUB-R1 (24×25GE + 4×100GE),13.7,25.7,13 %
HUB-KAR-01,POP-KAR,34,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),11.4,22.2,11 %
HUB-KAR-02,POP-KAR,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),12.3,23.7,12 %
HUB-KAR-03,POP-KAR,38,6,29,23,2,HUB-R1 (24×25GE + 4×100GE),13.9,26.1,13 %
HUB-MA-01,POP-MA,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),12.5,23.9,12 %
HUB-MA-02,POP-MA,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),13.2,25.0,12 %
HUB-MA-03,POP-MA,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),12.6,24.2,12 %
HUB-MA-04,POP-MA,32,5,24,19,2,HUB-R1 (24×25GE + 4×100GE),11.2,22.0,11 %
HUB-MAD-01,POP-MAD,36,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),12.6,24.0,12 %
HUB-MAD-02,POP-MAD,41,6,31,24,2,HUB-R1 (24×25GE + 4×100GE),15.2,28.0,14 %
HUB-MAD-03,POP-MAD,39,6,30,23,2,HUB-R1 (24×25GE + 4×100GE),14.4,26.7,13 %
HUB-MAD-04,POP-MAD,42,6,32,24,2,HUB-R1 (24×25GE + 4×100GE),15.5,28.4,14 %
HUB-MAF-01,POP-MAF,31,5,24,19,2,HUB-R1 (24×25GE + 4×100GE),10.8,21.4,11 %
HUB-MAF-02,POP-MAF,36,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),13.2,25.1,13 %
HUB-MAF-03,POP-MAF,36,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),13.1,24.8,12 %
HUB-MAF-04,POP-MAF,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),12.5,23.9,12 %
HUB-MAF-05,POP-MAF,39,6,30,23,2,HUB-R1 (24×25GE + 4×100GE),15.9,29.1,15 %
HUB-MUT-01,POP-MUT,36,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),9.1,18.8,9 %
HUB-NOR-01,POP-NOR,20,3,0,5,2,HUB-R1 (24×25GE + 4×100GE),5.0,12.8,6 %
HUB-SAL-01,POP-SAL,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),12.6,24.2,12 %
HUB-SAL-02,POP-SAL,35,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),12.6,24.2,12 %
HUB-SAL-03,POP-SAL,31,5,24,19,2,HUB-R1 (24×25GE + 4×100GE),10.9,21.6,11 %
HUB-SAL-04,POP-SAL,36,5,27,21,2,HUB-R1 (24×25GE + 4×100GE),12.6,24.0,12 %
HUB-SOU-01,POP-SOU,23,4,0,6,2,HUB-R1 (24×25GE + 4×100GE),5.8,13.9,7 %
HUB-TAF-01,POP-TAF,30,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),10.2,20.5,10 %
HUB-TAF-02,POP-TAF,42,6,32,24,2,HUB-R1 (24×25GE + 4×100GE),15.5,28.4,14 %
HUB-WAD-01,POP-WAD,34,5,0,7,2,HUB-R1 (24×25GE + 4×100GE),11.4,22.2,11 %
HUB-WAD-02,POP-WAD,31,5,24,19,2,HUB-R1 (24×25GE + 4×100GE),11.6,22.7,11 %
